corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
tabasaran	work	0001	#	#	##	##				
tabasaran	work	0001	sa-r	one-HSG	ln_num	ln_num				
tabasaran	work	0001	aba.ji-z	grandfather-DAT	np.h:ncs_poss	np	h	ncs_poss	5002	new
tabasaran	work	0001	a-ǯi	(IN)be-ICVB	v:predex	v		predex		
tabasaran	work	0001	šul-u	become-FUT	rv_aux	rv_aux				
tabasaran	work	0001	šubu-r	three-HSG	ln_num	ln_num				
tabasaran	work	0001	baž	boy(ABS)	np.h:p	np	h	p	5003	new
tabasaran	work	0001	pirim	Pirim	pn_np.h:appos	pn_np	h	appos	5004	bridging
tabasaran	work	0001	=na	=and	=rn	=rn				
tabasaran	work	0001	kerim	Kerim	rn_pn_np.h	rn_pn_np	h		5005	bridging
tabasaran	work	0001	=na	=and	=rn	=rn				
tabasaran	work	0001	selim	Selim	rn_pn_np.h	rn_pn_np	h		5006	bridging
tabasaran	work	0002	#	#	##	##				
tabasaran	work	0002	mu	PROX(ATTR)	ln_dem	ln_dem				
tabasaran	work	0002	aba.ji	grandfather(ERG)	np.h:a	np	h	a	5002	
tabasaran	work	0002	mu-rar	PROX-PL(ABS)	dem_pro.h:p	dem_pro	h	p	5003	
tabasaran	work	0002	ha-cːi	EMPH-(DIST)ADV	other	other				
tabasaran	work	0002	uˁ<r>χ-uˁru	<PL>save-FUT	v:pred	v		pred		
tabasaran	work	0003	#	#	#cv.neg	#cv.neg				
tabasaran	work	0003	0	0_sons	0.h:ncs_cv	0	h	ncs_cv	5003	
tabasaran	work	0003	sa-b	one-NSG	ln	ln				
tabasaran	work	0003	darval	need(ABS)	np:p	np		p		
tabasaran	work	0003	sa-b	one-NSG	rn	rn				
tabasaran	work	0003	aˁzjat	misery(ABS)	rn_np	rn_np				
tabasaran	work	0003	fu-vuš	what-INDEF(ABS)	rn	rn				
tabasaran	work	0003	=q’a	=PRT	=rn	=rn				
tabasaran	work	0003	aˁj-dar-ǯi	know-NEG-ICVB	v:pred	v		pred		
tabasaran	work	0003	#	#	##	##				
tabasaran	work	0003	aba	grandfather(ABS)	np.h:s	np	h	s	5002	
tabasaran	work	0003	#	#	#rc_pc	#rc_pc				
tabasaran	work	0003	0	0	rel_f0.h:s_pc	rel_f0	h	s_pc		
tabasaran	work	0003	uǯu-b	good-NSG	other:pred	other		pred		
tabasaran	work	0003	zehmetkeš	industrious	other	other				
tabasaran	work	0003	a-ji	(IN)be-PTCP	cop	cop				
tabasaran	work	0003	%	%	%	%				
tabasaran	work	0003	insan	man(ABS)	np.h:pred	np	h	pred		
tabasaran	work	0003	vu-ǯi	COP-ICVB	cop	cop				
tabasaran	work	0003	šul-u	become-FUT	rv_aux	rv_aux				
tabasaran	work	0003	#	#	#pc	#pc				
tabasaran	work	0003	0	0_father	0.h:ncs_poss	0	h	ncs_poss	5002	
tabasaran	work	0003	uǯu-b	good-NSG	ln_adj	ln_adj				
tabasaran	work	0003	devlet	wealth(ABS)	np:p	np		p		
tabasaran	work	0003	a-ji	(IN)be-PTCP	v:predex	v		predex		
tabasaran	work	0003	#	#	##	##				
tabasaran	work	0003	0	0_father	0.h:ncs_poss	0	h	ncs_poss	5002	
tabasaran	work	0003	uǯu-r	good-PL	ln_adj	ln_adj				
tabasaran	work	0003	ha-dmu	EMPH-3.P(ABS)	ln_dem	ln_dem				
tabasaran	work	0003	=q’an	=PRT	=ln	=ln				
tabasaran	work	0003	ča-n	REFL-GEN	ln_refl.h:poss	ln_refl	h	poss		
tabasaran	work	0003	qu<r>q’u-val-ar	<HSG>reach-ABSTR-PL(ABS)	np:p	np		p		
tabasaran	work	0003	a-ǯi	(IN)be-ICVB	v:predex	v		predex		
tabasaran	work	0004	#	#	##	##				
tabasaran	work	0004	#	#	#cv.neg	#cv.neg				
tabasaran	work	0004	sa-b.ǯi-k-an	one-NSG-CONT-ELAT	ln	ln				
tabasaran	work	0004	=q’a	=PRT	=ln	=ln				
tabasaran	work	0004	fikir	thought(ABS)	np:s_cv	np		s_cv		
tabasaran	work	0004	k-tːar-ǯi	CONT-be:NEG-ICVB	v:predex	v		predex		
tabasaran	work	0004	%	%	%	%				
tabasaran	work	0004	mu	PROX(ATTR)	ln_dem	ln_dem				
tabasaran	work	0004	baž-ar	boy-PL(ABS)	np.h:s	np	h	s	5003	
tabasaran	work	0004	aˁχuˁ	big	other	other				
tabasaran	work	0004	šul-u	become-FUT	v:pred	v		pred		
tabasaran	work	0005	#	#	#cv.neg	#cv.neg				
tabasaran	work	0005	čpːi	REFL(PL)	refl.h:a	refl	h	a	5003	
tabasaran	work	0005	#	#	#cc:p	#cc		p		
tabasaran	work	0005	0	0_sons	0.h:a	0	h	a	5003	
tabasaran	work	0005	fu	what	intrg_other:p	intrg_other		p		
tabasaran	work	0005	ʁ-ip’-nu-š	PFV-<NSG>eat-AOR-COND	v:pred	v		pred		
tabasaran	work	0005	%	%	%	%				
tabasaran	work	0005	#	#	#cc:p	#cc		p		
tabasaran	work	0005	0	0_sons	0.h:a	0	h	a	5003	
tabasaran	work	0005	fu	what	intrg_other:p	intrg_other		p		
tabasaran	work	0005	ʁ-u<b>q-nu-š	PFV-<NSG>drink-AOR-COND	v:pred	v		pred		
tabasaran	work	0005	%	%	%	%				
tabasaran	work	0005	aˁj-dar-ǯi	know-NEG-ICVB	v:pred	v		pred		
tabasaran	work	0005	#	#	#nc	#nc				
tabasaran	work	0005	naʔna	where	nc	nc				
tabasaran	work	0005	ʁa-f-nu-š	PFV-come-AOR-COND	nc	nc				
tabasaran	work	0005	q’adar	amount(ABS)	nc	nc				
tabasaran	work	0005	a-dar-ǯi	(IN)be-NEG-ICVB	nc	nc				
tabasaran	work	0005	ha-m-cːi	EMPH-PROX-ADV	nc	nc				
tabasaran	work	0005	#	#	#ac_pc	#ac_pc				
tabasaran	work	0005	čpːi-z	REFL(PL)-DAT	refl.h:ncs_pc	refl	h	ncs_pc	5003	
tabasaran	work	0005	gun-i	want-PTCP	v:pred	v		pred		
tabasaran	work	0005	%	%	%	%				
tabasaran	work	0005	si	as	other	other				
tabasaran	work	0005	dulanmiš	live	other:lvc	other		lvc		
tabasaran	work	0005	šul-a-ǯi	become-PRS-ICVB	v:pred	v		pred		
tabasaran	work	0005	šul-u	become-FUT	rv_aux	rv_aux				
tabasaran	work	0005	mu-rar	PROX-PL(ABS)	dem_pro.h:s_cp	dem_pro	h	s_cp	5003	
tabasaran	work	0006	#	#	##	##				
tabasaran	work	0006	insan.ǯi-n	person-GEN	ln_np.h:poss	ln_np	h	poss		
tabasaran	work	0006	uˁmur	life(ABS)	np:s	np		s		
tabasaran	work	0006	ha-cːi-b	EMPH-DIST+ADV-NSG	other	other				
tabasaran	work	0006	u	COP	cop	cop				
tabasaran	work	0006	#	#	#cc.neg:pred	#cc.neg		pred		
tabasaran	work	0006	aˁχir	end(ABS)	np:s	np		s		
tabasaran	work	0006	a-dr-ub	(IN)be-NEG-NSG	v:predex	v		predex		
tabasaran	work	0006	dar	COP:NEG	rv_aux	rv_aux				
tabasaran	work	0006	#	#	##	##				
tabasaran	work	0006	vari-b.ǯi-z	all-NSG-DAT	np:ncs_poss	np		ncs_poss		
tabasaran	work	0006	aˁχir	end(ABS)	np:p	np		p		
tabasaran	work	0006	a-ji-b	(IN)be-PTCP-NSG	v:predex	v		predex		
tabasaran	work	0006	vu	COP	rv_aux	rv_aux				
tabasaran	work	0007	#	#	##	##				
tabasaran	work	0007	#	#	#cv	#cv				
tabasaran	work	0007	jiʁ-ar.i-k-an	day-PL-CONT-ELAT	np:other	np		other		
tabasaran	work	0007	sa-d	one-NSG	ln_num	ln_num				
tabasaran	work	0007	jiʁ.a-n	day-GEN	np:other	np		other		
tabasaran	work	0007	aba	grandfather(ABS)	np.h:s_cv	np	h	s_cv	5002	
tabasaran	work	0007	aldak-nu	<HSG>fall-PCVB	v:pred	v		pred		
tabasaran	work	0007	%	%	%	%				
tabasaran	work	0007	0	0_father	0.h:s	0	h	s	5002	
tabasaran	work	0007	aˁ-ru	<HSG>go-FUT	v:pred	v		pred		
tabasaran	work	0007	raˁhmat.ǯi-z	merciful-DAT	np.h:g	np	h	g		
tabasaran	work	0008	#	#	##	##				
tabasaran	work	0008	aba	grandfather(ABS)	np.h:s	np	h	s	5002	
tabasaran	work	0008	raˁhmat.ǯi-z	merciful-DAT	np.h:g	np	h	g		
tabasaran	work	0008	ʁ-uš-nu	PFV-<HSG>go-AOR	v:pred	v		pred		
tabasaran	work	0008	#	#	#cv	#cv				
tabasaran	work	0008	baž-ar.i	boy-PL(ERG)	np.h:a_cv	np	h	a_cv	5003	
tabasaran	work	0008	vari	all	ln	ln				
tabasaran	work	0008	aˁdat	custom(ABS)	np:p	np		p		
tabasaran	work	0008	d-ap’-nu	PFV-do-PCVB	v:pred	v		pred		
tabasaran	work	0008	#	#	##	##				
tabasaran	work	0008	0	0_sons	0.h:a	0	h	a	5003	
tabasaran	work	0008	čpːi-n	REFL(PL)-GEN	ln_refl.h:poss	ln_refl	h	poss	5003	
tabasaran	work	0008	aba	grandfather(ABS)	np.h:p	np	h	p	5002	
tabasaran	work	0008	=ra	=ADD	=other	=other				
tabasaran	work	0008	k-iv-nu	CONT-put-AOR	v:pred	v		pred		
tabasaran	work	0008	#	#	##	##				
tabasaran	work	0008	#	#	#cv	#cv				
tabasaran	work	0008	0	0_sons	0.h:a_cp_cv	0	h	a_cp_cv	5003	
tabasaran	work	0008	0	0_father	0.h:p	0	h	p	5002	
tabasaran	work	0008	salamat	quietness(ABS)	other:lvc	other		lvc		
tabasaran	work	0008	d-ap’-nu	PFV-do-PCVB	v:pred	v		pred		
tabasaran	work	0008	%	%	%	%				
tabasaran	work	0008	#	#	#cv	#cv				
tabasaran	work	0008	0	0_sons	0.h:a_cp_cv	0	h	a_cp_cv	5003	
tabasaran	work	0008	sadaq’a	alms(ABS)	other:lvc	other		lvc		
tabasaran	work	0008	=ra	=ADD	=other	=other				
tabasaran	work	0008	tuv-nu	do-PCVB	v:pred	v		pred		
tabasaran	work	0008	%	%	%	%				
tabasaran	work	0008	0	0_sons	0.h:s	0	h	s	5003	
tabasaran	work	0008	dus-ru	<PL>sit-FUT	v:pred	v		pred		
tabasaran	work	0009	#	#	##	##				
tabasaran	work	0009	c’i-b	small-NSG	ln_adj	ln_adj				
tabasaran	work	0009	vaχt.na-l-an	time-SUPER-ELAT	np:other	np		other		
tabasaran	work	0009	dada	mother(ABS)	np.h:s	np	h	s	5007	bridging
tabasaran	work	0009	=ra	=ADD	=other	=other				
tabasaran	work	0009	raˁhmat.ǯi-z	merciful-DAT	np.h:g	np	h	g		
tabasaran	work	0009	aˁ-ru	<HSG>go-FUT	v:pred	v		pred		
tabasaran	work	0010	#	#	##	##				
tabasaran	work	0010	0	0_sons	0.h:a_cp	0	h	a_cp	5003	
tabasaran	work	0010	mu	PROX(ABS)	dem_pro.h:p	dem_pro	h	p	5007	
tabasaran	work	0010	=ra	=ADD	=other	=other				
tabasaran	work	0010	salamat	quietness(ABS)	other:lvc	other		lvc		
tabasaran	work	0010	ap’u-ru	do-FUT	v:pred	v		pred		
tabasaran	work	0011	#	#	##	##				
tabasaran	work	0011	#	#	#cv	#cv				
tabasaran	work	0011	0	0_sons	0.h:a_cp_cv	0	h	a_cp_cv	5003	
tabasaran	work	0011	muva-n	PROX-GEN	ln_dem_pro.h:poss	ln_dem_pro	h	poss	5003	
tabasaran	work	0011	=ra	=ADD	=other	=other				
tabasaran	work	0011	k’an	bottom(ABS)	ln	ln				
tabasaran	work	0011	k’ul	head(ABS)	other:lvc	other		lvc		
tabasaran	work	0011	d-ap’-nu	PFV-do-PCVB	v:pred	v		pred		
tabasaran	work	0011	%	%	%	%				
tabasaran	work	0011	#	#	#cv	#cv				
tabasaran	work	0011	0	0_sons	0.h:a_cv	0	h	a_cv	5003	
tabasaran	work	0011	čpːi-n	REFL(PL)-GEN	ln_refl.h:poss	ln_refl	h	poss	5003	
tabasaran	work	0011	vari	all	ln	ln				
tabasaran	work	0011	aˁdat-ar	custom-PL(ABS)	np:p	np		p		
tabasaran	work	0011	d-uˁ<r>χ-nu	PFV-<PL>save-PCVB	v:pred	v		pred		
tabasaran	work	0011	%	%	%	%				
tabasaran	work	0011	#	#	#cv	#cv				
tabasaran	work	0011	0	0_sons	0.h:a_cv	0	h	a_cv	5003	
tabasaran	work	0011	lamus	dignity(ABS)	np:p	np		p		
tabasaran	work	0011	d-uˁ<b>χ-nu	PFV-<NSG>save-PCVB	v:pred	v		pred		
tabasaran	work	0011	#	#	#cv	#cv				
tabasaran	work	0011	0	0_sons	0.h:a_cv	0	h	a_cv	5003	
tabasaran	work	0011	čpːi-n	REFL(PL)-GEN	ln_refl.h:poss	ln_refl	h	poss	5003	
tabasaran	work	0011	jas	mourning(ABS)	np:p	np		p		
tabasaran	work	0011	=ra	=ADD	=other	=other				
tabasaran	work	0011	d-uˁ<b>χ-nu	PFV-<NSG>save-PCVB	v:pred	v		pred		
tabasaran	work	0011	dada.ji-n	mother-GEN	rn_np.h:poss	rn_np	h	poss	5007	
tabasaran	work	0011	=ra	=ADD	=rn	=rn				
tabasaran	work	0011	adaš.i-n	father-GEN	rn_np.h:poss	rn_np	h	poss	5006	
tabasaran	work	0011	=ra	=ADD	=rn	=rn				
tabasaran	work	0011	#	#	##	##				
tabasaran	work	0011	ha-m-cːi	EMPH-PROX-ADV	other	other				
tabasaran	work	0011	vaχtː-ar	time-PL(ABS)	np:s	np		s		
tabasaran	work	0011	ʁ-uš-nu	PFV-<PL>go-AOR	v:pred	v		pred		
tabasaran	work	0012	#	#	##	##				
tabasaran	work	0012	qana	then	other	other				
tabasaran	work	0012	0	0_sons	0.h:a_cp	0	h	a_cp	5003	
tabasaran	work	0012	čpːi-n	REFL(PL)-GEN	ln_refl.h:poss	ln_refl	h	poss	5003	
tabasaran	work	0012	dulanmiš	live	other:lvc	other		lvc		
tabasaran	work	0012	ap’-uri	do-ICVB	v:pred	v		pred		
tabasaran	work	0012	dus-ru	<PL>sit-FUT	rv_aux	rv_aux				
tabasaran	work	0013	#	#	#nc	#nc				
tabasaran	work	0013	χabar	new(ABS)	nc	nc				
tabasaran	work	0013	naʔna	where	nc	nc				
tabasaran	work	0014	#	#	##	##				
tabasaran	work	0014	#	#	#cv.neg	#cv.neg				
tabasaran	work	0014	čpːi-z	REFL(PL)-DAT	refl.h:ncs_cv	refl	h	ncs_cv	5003	
tabasaran	work	0014	=ra	=ADD	=other	=other				
tabasaran	work	0014	aˁj-dar-ǯi	know-NEG-ICVB	v:pred	v		pred		
tabasaran	work	0014	%	%	%	%				
tabasaran	work	0014	baž-ar.i-n	boy-PL-GEN	ln_np.h:poss	ln_np	h	poss	5003	
tabasaran	work	0014	devlet	wealth(ABS)	np:s	np		s	5008	new
tabasaran	work	0014	šul-u	become-FUT	v:pred	v		pred		
tabasaran	work	0014	c’i-b	little-NSG	other	other				
tabasaran	work	0014	#	#	##	##				
tabasaran	work	0014	0	0_wealth	0:s	0		s	5008	
tabasaran	work	0014	gudu<b>k’-ura	<NSG>finish-PRS	v:pred	v		pred		
tabasaran	work	0015	#	#	##	##				
tabasaran	work	0015	vah	INTERJ	other	other				
tabasaran	work	0015	0	0_sons	0.h:s	0	h	s	5003	
tabasaran	work	0015	lig-uru	<PL>look-FUT	v:pred	v		pred		
tabasaran	work	0015	#	#	##neg	##neg				
tabasaran	work	0015	0	0	0:s	0		s	5008	
tabasaran	work	0015	am-dar	(IN)be-PRS:NEG	v:predex	v		predex		
tabasaran	work	0016	#	#	##ds	##ds				
tabasaran	work	0016	ja	VOC	ln	ln				
tabasaran	work	0016	pirim	Pirim	pn_np.h:voc	pn_np	h	voc	5004	
tabasaran	work	0016	ja	VOC	ln	ln				
tabasaran	work	0016	kerim	Kerim	pn_np.h:voc	pn_np	h	voc	5005	
tabasaran	work	0016	ja	VOC	ln	ln				
tabasaran	work	0016	selim	Selim	pn_np.h:voc	pn_np	h	voc	5006	
tabasaran	work	0016	0	0_sons	0.1:a	0	1	a	5003	
tabasaran	work	0016	hap’-ru	what_do-FUT	v:pred	v		pred		
tabasaran	work	0016	#	#	##ds	##ds				
tabasaran	work	0016	0	0_sons	0.1:a	0	1	a	5003	
tabasaran	work	0016	ficːi	how	other	other				
tabasaran	work	0016	ap’-u-ru	do-FUT	v:pred	v		pred		
tabasaran	work	0017	#	#	##	##				
tabasaran	work	0017	pirim.ǯi	Pirim(ERG)	pn_np.h:a_ds	pn_np	h	a_ds	5004	
tabasaran	work	0017	k’-ur	say-FUT	v:pred	v		pred		
tabasaran	work	0017	#	#	##ds	##ds				
tabasaran	work	0017	0	0_you	0.2:s	0	2	s	5009	bridging
tabasaran	work	0017	javaš-ir	hold_on-IMP.PL	v:pred	v		pred		
tabasaran	work	0017	k’ur	CIT	other	other				
tabasaran	work	0017	#	#	##ds	##ds				
tabasaran	work	0017	uzu	I	pro.1:s	pro	1	s	5004	
tabasaran	work	0017	aˁχuˁ-r	old-HSG	other:pred	other		pred		
tabasaran	work	0017	vu	COP	cop	cop				
tabasaran	work	0017	=za	=1SG:AG	=rv-pro_1_s	=rv-pro_1_s				
tabasaran	work	0017	k’ur	CIT	other	other				
tabasaran	work	0018	#	#	##ds	##ds				
tabasaran	work	0018	uc̊u	you(PL)	pro.2:s	pro	2	s	5009	
tabasaran	work	0018	ʁuz-ir	<PL>stay-IMP.PL	v:pred	v		pred		
tabasaran	work	0018	k’ur	CIT	other	other				
tabasaran	work	0018	#	#	##ds	##ds				
tabasaran	work	0018	uzu	I	pro.1:s	pro	1	s	5004	
tabasaran	work	0018	#	#	#ds_ac_in	#ds_ac_in				
tabasaran	work	0018	0	0_Pirim	f0.1:a_in	f0	1	a_in	5004	
tabasaran	work	0018	uxu-z	we(INCL)-DAT	pro.1:obl	pro	1	obl	5003	
tabasaran	work	0018	laˁχin	work	np:p	np		p	5010	new
tabasaran	work	0018	a<b>g-uz	<NSG>search-INF	vother:pred	vother		pred		
tabasaran	work	0018	%	%	%	%				
tabasaran	work	0018	aˁr	<HSG>go	v:pred	v		pred		
tabasaran	work	0018	=za	=1SG:AG	=rv-pro_1_s	=rv-pro_1_s				
tabasaran	work	0018	k’ur	CIT	other	other				
tabasaran	work	0019	#	#	#nc	#nc				
tabasaran	work	0019	i<b>š-ri	<NSG>become-JUSS	nc	nc				
tabasaran	work	0019	k’ur	CIT	nc	nc				
tabasaran	work	0020	#	#	##ds	##ds				
tabasaran	work	0020	lig-ir	<PL>look-IMP.PL	v:pred	v		pred		
tabasaran	work	0020	ha	PRT	other	other				
tabasaran	work	0020	uc̊u	you(PL)	pro.2:s	pro	2	s	5009	
tabasaran	work	0020	#	#	##ds	##ds				
tabasaran	work	0020	0	0_you	0.2:a_cp	0	2	a_cp	5009	
tabasaran	work	0020	ix	our(EXCL)	ln_pro.1:poss	ln_pro	1	poss	5003	
tabasaran	work	0020	χal	house(ABS)	np:p	np		p	5011	bridging
tabasaran	work	0020	k’ul.i	head(IN)	other:lvc	other		lvc		
tabasaran	work	0020	ʁe-je<b>χ-ir	PFV-<NSG>bring-IMP.PL	v:pred	v		pred		
tabasaran	work	0020	k’ur	CIT	other	other				
tabasaran	work	0020	#	#	##ds	##ds				
tabasaran	work	0020	0	0_you	0.2:s	0	2	s	5009	
tabasaran	work	0020	a-ji	(IN)be-PTCP	np:obl	np		obl		
tabasaran	work	0020	a-dr-u-b.ǯi-z	(IN)be-NEG-PTCP-NSG-DAT	rn_np	rn_np				
tabasaran	work	0020	lig-ir	<PL>look-IMP.PL	v:pred	v		pred		
tabasaran	work	0020	k’ur	CIT	other	other				
tabasaran	work	0021	#	#	##ds	##ds				
tabasaran	work	0021	uzu	I	pro.1:a	pro	1	a	5004	
tabasaran	work	0021	uxu-z	we(INCL)-DAT	pro.1:obl	pro	1	obl	5003	
tabasaran	work	0021	laˁχin	work(ABS)	np:p	np		p	5010	
tabasaran	work	0021	a<b>g-ur	<NSG>search-FUT	v:pred	v		pred		
tabasaran	work	0021	=za	=1SG:AG	=rv-pro_1_a	=rv-pro_1_a				
tabasaran	work	0021	k’ur	CIT	other	other				
tabasaran	work	0022	#	#	##	##				
tabasaran	work	0022	#	#	#cv	#cv				
tabasaran	work	0022	pirim	Pirim	pn_np.h:a_cv	pn_np	h	a_cv	5004	
tabasaran	work	0022	ʁada<b>ʁ-nu	<NSG>take-PCVB	v:pred	v		pred		
tabasaran	work	0022	ča-z	REFL-DAT	refl.h:g	refl	h	g	5004	
tabasaran	work	0022	#	#	#rc_pc	#rc_pc			5012	
tabasaran	work	0022	0	0_Pirim	0.h:a_pc	0	h	a_pc	5004	
tabasaran	work	0022	0	0_clothes	rel_f0:p	rel_f0		p	5012	
tabasaran	work	0022	ala<b>x-ru	<NSG>put_on-PTCP	v:pred	v		pred		
tabasaran	work	0022	%	%	%	%				
tabasaran	work	0022	palat	clothes(ABS)	np:p	np		p	5012	new
tabasaran	work	0022	=ra	=ADD	=other	=other				
tabasaran	work	0022	%	%	%	%				
tabasaran	work	0022	#	#	#cv	#cv				
tabasaran	work	0022	0	0_Pirim	0.h:a_cv	0	h	a_cv	5004	
tabasaran	work	0022	huˁǯuˁχ-ru	change-PTCP	ln	ln				
tabasaran	work	0022	palat	clothes(ABS)	np:p	np		p	5013	new
tabasaran	work	0022	=ra	=ADD	=other	=other				
tabasaran	work	0022	ʁada<b>ʁ-nu	<NSG>take-PCVB	v:pred	v		pred		
tabasaran	work	0022	%	%	%	%				
tabasaran	work	0022	#	#	#cv	#cv				
tabasaran	work	0022	0	0_Pirim	0.h:a_cv	0	h	a_cv	5004	
tabasaran	work	0022	erč-nu	<PL>put-PCVB	v:pred	v		pred		
tabasaran	work	0022	ča-n	REFL-GEN	ln_refl.h:poss	ln_refl	h	poss	5004	
tabasaran	work	0022	hirbin	saddle_bag(ABS)	np:p	np		p	5014	new
tabasaran	work	0022	ʁuˁn.i	shoulder(IN)	np:g	np		g	5015	bridging
tabasaran	work	0022	%	%	%	%				
tabasaran	work	0022	#	#	#nc	#nc				
tabasaran	work	0022	uc̊’-ru	<HSG>enter-PTCP	nc	nc				
tabasaran	work	0022	lik.ri	leg(ERG)	nc	nc				
tabasaran	work	0022	%	%	%	%				
tabasaran	work	0022	düz	direct	other	other				
tabasaran	work	0022	šahur	town(ABS)	ln_np	ln_np			5016	new
tabasaran	work	0022	teref.na-z	side-DAT	np:g	np		g		
tabasaran	work	0022	aˁ-ru	<HSG>go-FUT	v:pred	v		pred		
tabasaran	work	0022	mu	PROX(ABS)	dem_pro.h:s	dem_pro	h	s	5004	
tabasaran	work	0023	#	#	##	##				
tabasaran	work	0023	0	0_Pirim	0.h:s	0	h	s	5004	
tabasaran	work	0023	adaqu-ru	<HSG>fall-FUT	v:pred	v		pred		
tabasaran	work	0023	šahr.i-ǯi	town-(IN)DIR	np:g	np		g	5016	
tabasaran	work	0024	#	#	##	##				
tabasaran	work	0024	#	#	#cv	#cv				
tabasaran	work	0024	0	0_Pirim	0.h:s_cv	0	h	s_cv	5004	
tabasaran	work	0024	šahr.i-z	town-DAT	np:g	np		g	5016	
tabasaran	work	0024	adaq-u	<HSG>fall-PCVB	v:pred	v		pred		
tabasaran	work	0024	%	%	%	%				
tabasaran	work	0024	pirim	Pirim(ABS)	pn_np.h:s	pn_np	h	s	5004	
tabasaran	work	0024	e<r>g-ru	<HSG>be_exhausted-FUT	v:pred	v		pred		
tabasaran	work	0025	#	#	##	##				
tabasaran	work	0025	#	#	#cv	#cv				
tabasaran	work	0025	#	#	#ac_pc	#ac_pc				
tabasaran	work	0025	gaš	hunger(ABS)	np:s_pc	np		s_pc		
tabasaran	work	0025	=ra	=ADD	=rn	=rn				
tabasaran	work	0025	d-u<b>x-na-ji-r	PFV-<NSG>become-RES-PTCP-HSG	v:pred	v		pred		
tabasaran	work	0025	%	%	%	%				
tabasaran	work	0025	0	0_Pirim	0.h:s_cv	0	h	s_cv	5004	
tabasaran	work	0025	javaš	slow	other	other				
tabasaran	work	0025	javaš-ǯi	slow-ADV	other	other				
tabasaran	work	0025	a<b>g-uri	<NSG>search-ICVB	v:pred	v		pred		
tabasaran	work	0025	%	%	%	%				
tabasaran	work	0025	0	0_Pirim	0.h:s	0	h	s	5004	
tabasaran	work	0025	adaq-uru	<HSG>fall-FUT	v:pred	v		pred		
tabasaran	work	0025	sa-b	one-NSG	ln_num	ln_num				
tabasaran	work	0025	čajχani.ǯi	teahouse(IN)	np:g	np		g	5017	new
tabasaran	work	0026	#	#	#cv	#cv				
tabasaran	work	0026	0	0_Pirim	0.h:s_cv	0	h	s_cv	5004	
tabasaran	work	0026	dus-nu	<HSG>sit-PCVB	v:pred	v		pred		
tabasaran	work	0026	ha-d-in-ǯi	EMPH-DIST-LAT-DIR	other:l	other		l		
tabasaran	work	0026	%	%	%	%				
tabasaran	work	0026	#	#	#cv	#cv				
tabasaran	work	0026	0	0_Pirim	0.h:a_cv	0	h	a_cv	5004	
tabasaran	work	0026	sa-b	one-NSG	ln_num	ln_num				
tabasaran	work	0026	čajnik’	tea_pot(ABS)	np:p	np		p	5018	bridging
tabasaran	work	0026	=ra	=ADD	=other	=other				
tabasaran	work	0026	ʁada<b>ʁ-nu	<NSG>take-PCVB	v:pred	v		pred		
tabasaran	work	0026	%	%	%	%				
tabasaran	work	0026	#	#	#cv	#cv				
tabasaran	work	0026	0	0_Pirim	0.h:a_ds_cp_cv	0	h	a_ds_cp_cv	5004	
tabasaran	work	0026	fikr-ar	thought-PL	other:lvc	other		lvc		
tabasaran	work	0026	=a	=ADD	=other	=other				
tabasaran	work	0026	ap’-uri	do-ICVB	v:pred	v		pred		
tabasaran	work	0026	#	#	##ds	##ds				
tabasaran	work	0026	jarabala	INTERJ	other	other				
tabasaran	work	0026	0	0_Pirim	0.1:a	0	1	a	5004	
tabasaran	work	0026	hap’	what_do	v:pred	v		pred		
tabasaran	work	0026	=za-jk’e	=1SG:AG-RHET	=rv-pro_1_a	=rv-pro_1_a				
tabasaran	work	0026	#	#	##ds	##ds				
tabasaran	work	0026	0	0_Pirim	0.1:s	0	1	s	5004	
tabasaran	work	0026	ficːi	how	other	other				
tabasaran	work	0026	ap’u	do	v:pred	v		pred		
tabasaran	work	0026	=za-jk’e	=1SG:AG-RHET	=rv-pro_1_a	=rv-pro_1_a				
tabasaran	work	0026	#	#	##ds	##ds				
tabasaran	work	0026	0	0_Pirim	0.h:a	0	h	a	5004	
tabasaran	work	0026	f.ǯi-l-a	what-SUPER-ELAT	intrg_other:p	intrg_other		p		
tabasaran	work	0026	gaˁ<b>ʁ	<NSG>start	v:pred	v		pred		
tabasaran	work	0026	=za-jk’e	=1SG:AG-RHET	=rv-pro_1_a	=rv-pro_1_a				
tabasaran	work	0026	#	#	##ds.neg	##ds.neg				
tabasaran	work	0026	laˁχin	work(ABS)	np:s	np		s		
tabasaran	work	0026	#	#	#ds_rc_pc	#ds_rc_pc				
tabasaran	work	0026	0	0_Pirim	0.1:a_pc	0	1	a_pc	5004	
tabasaran	work	0026	0	0_work	rel_f0:p	rel_f0		p		
tabasaran	work	0026	ʁ-ap’-u-r	PFV-do-PTCP-HSG	v:pred	v		pred		
tabasaran	work	0026	%	%	%	%				
tabasaran	work	0026	dar	COP:NEG	v:predex	v		predex		
tabasaran	work	0026	#	#	##ds	##ds				
tabasaran	work	0026	fu	what(ABS)	intrg_other:p	intrg_other		p		
tabasaran	work	0026	0	0_Pirim	0.2:ncs_poss	0	2	ncs_poss	5004	
tabasaran	work	0026	k-a	CONT-be	v:pred	v		pred		
tabasaran	work	0026	=vu-k	=2SG-CONT	=rv-pro_1_ncs	=rv-pro_1_ncs				
